commodity,sheet,line_item,n,y0,y1
CU,ChinaBalance,SRB stock days vs Global consumption,41,2000,2040
CU,ChinaBalance,Scrap,57,1984,2040
CU,ChinaBalance,Secondary smelter production,9,1992,2000
CU,ChinaBalance,Smelter Production,57,1984,2040
CU,ChinaBalance,Smelter capacity,9,1992,2000
CU,ChinaBalance,Stock Change,57,1984,2040
CU,ChinaBalance,Stocks,57,1984,2040
CU,ChinaBalance,SxEw,57,1984,2040
CU,ChinaBalance,Total Stock change,56,1985,2040
CU,ChinaBalance,Total Stocks,21,2002,2022
CU,ConcentrateStockChange,Add Secondaries (incl re-smelted blister),8,2021,2028
CU,ConcentrateStockChange,Add/(Less) market & other adjustments,8,2021,2028
CU,ConcentrateStockChange,Conc. production/capability (incl Probables),8,2021,2028
CU,ConcentrateStockChange,Concentrate available for world smelters,8,2021,2028
CU,ConcentrateStockChange,Concentrate stock change,8,2021,2028
CU,ConcentrateStockChange,Concentrate stock days,8,2021,2028
CU,ConcentrateStockChange,Concentrates smelted,8,2021,2028
CU,ConcentrateStockChange,Concs smelted as % of smelter capacity,8,2021,2028
CU,ConcentrateStockChange,Less Direct use of concentrate,8,2021,2028
CU,ConcentrateStockChange,Less processing losses,8,2021,2028
CU,ConcentrateStockChange,Smelter concentrate usage capacity,8,2021,2028
CU,ConcentrateStockChange,Smelter production from concentrates,8,2021,2028
CU,ConcentrateStockChange,Smelter usage,8,2021,2028
CU,ConcentrateStockChange,World smelter production,8,2021,2028
CU,CuConsumption,% change,8,2021,2028
CU,CuConsumption,Africa,8,2021,2028
CU,CuConsumption,Argentina,8,2021,2028
CU,CuConsumption,Asia,8,2021,2028
CU,CuConsumption,Austria,8,2021,2028
CU,CuConsumption,Belgium,8,2021,2028
CU,CuConsumption,Brazil,8,2021,2028
CU,CuConsumption,Canada,8,2021,2028
CU,CuConsumption,Chile,8,2021,2028
CU,CuConsumption,China,8,2021,2028
CU,CuConsumption,Egypt,8,2021,2028
CU,CuConsumption,Europe,8,2021,2028
CU,CuConsumption,Finland,8,2021,2028
CU,CuConsumption,France,8,2021,2028
CU,CuConsumption,Germany,8,2021,2028
CU,CuConsumption,Global Total,8,2021,2028
CU,CuConsumption,Greece,8,2021,2028
CU,CuConsumption,India,8,2021,2028
CU,CuConsumption,Indonesia,8,2021,2028
CU,CuConsumption,Iran,8,2021,2028
CU,CuConsumption,Italy,8,2021,2028
CU,CuConsumption,Japan,8,2021,2028
CU,CuConsumption,Latin America and the Caribbean,8,2021,2028
CU,CuConsumption,Malaysia,8,2021,2028
CU,CuConsumption,Mexico,8,2021,2028
CU,CuConsumption,Middle East,8,2021,2028
CU,CuConsumption,Netherlands,8,2021,2028
CU,CuConsumption,North America,8,2021,2028
CU,CuConsumption,Oceania,8,2021,2028
CU,CuConsumption,Other ASEAN,8,2021,2028
CU,CuConsumption,Other Africa,8,2021,2028
CU,CuConsumption,Other East Europe,8,2021,2028
CU,CuConsumption,Other Eastern Asia,8,2021,2028
CU,CuConsumption,Other Indian Sub,8,2021,2028
CU,CuConsumption,Other Latin America,8,2021,2028
CU,CuConsumption,Other Middle East,8,2021,2028
CU,CuConsumption,Other Russia and the Caspian,8,2021,2028
CU,CuConsumption,Other West Europe*,8,2021,2028
CU,CuConsumption,Peru,8,2021,2028
CU,CuConsumption,Poland,8,2021,2028
CU,CuConsumption,Portugal,8,2021,2028
CU,CuConsumption,Russia and the Caspian,8,2021,2028
CU,CuConsumption,Russian Federation,8,2021,2028
CU,CuConsumption,Saudi Arabia,8,2021,2028
CU,CuConsumption,South Africa,8,2021,2028
CU,CuConsumption,South Korea,8,2021,2028
CU,CuConsumption,Spain,8,2021,2028
CU,CuConsumption,Sweden,8,2021,2028
CU,CuConsumption,Switzerland,8,2021,2028
CU,CuConsumption,Taiwan,8,2021,2028
CU,CuConsumption,Thailand,8,2021,2028
CU,CuConsumption,Turkey,8,2021,2028
CU,CuConsumption,United Arab Emirates,8,2021,2028
CU,CuConsumption,United Kingdom,8,2021,2028
CU,CuConsumption,United States,8,2021,2028
CU,CuConsumption,Vietnam,8,2021,2028
CU,CuMinesbyCountry,Additional adjustment,7,2022,2028
CU,CuMinesbyCountry,Argentina,8,2021,2028
CU,CuMinesbyCountry,Australia,8,2021,2028
CU,CuMinesbyCountry,Brazil,8,2021,2028
CU,CuMinesbyCountry,Bulgaria,8,2021,2028
CU,CuMinesbyCountry,Canada,8,2021,2028
CU,CuMinesbyCountry,Chile,8,2021,2028
CU,CuMinesbyCountry,China,8,2021,2028
CU,CuMinesbyCountry,Democratic Republic of Congo,8,2021,2028
CU,CuMinesbyCountry,Eritrea,8,2021,2028
CU,CuMinesbyCountry,Finland,8,2021,2028
CU,CuMinesbyCountry,India,8,2021,2028
CU,CuMinesbyCountry,Indonesia,8,2021,2028
CU,CuMinesbyCountry,Iran,8,2021,2028
CU,CuMinesbyCountry,Kazakhstan,8,2021,2028
CU,CuMinesbyCountry,Laos,8,2021,2028
CU,CuMinesbyCountry,Mauritania,8,2021,2028
CU,CuMinesbyCountry,Mexico,8,2021,2028
CU,CuMinesbyCountry,Mongolia,8,2021,2028
CU,CuMinesbyCountry,Morocco,8,2021,2028
CU,CuMinesbyCountry,Myanmar,8,2021,2028
CU,CuMinesbyCountry,Oman,8,2021,2028
CU,CuMinesbyCountry,Others,8,2021,2028
CU,CuMinesbyCountry,Pakistan,8,2021,2028
CU,CuMinesbyCountry,Panama,8,2021,2028
CU,CuMinesbyCountry,Papua New Guinea,8,2021,2028
CU,CuMinesbyCountry,Peru,8,2021,2028
CU,CuMinesbyCountry,Philippines,8,2021,2028
CU,CuMinesbyCountry,Poland,8,2021,2028
CU,CuMinesbyCountry,Portugal,8,2021,2028
CU,CuMinesbyCountry,Probable projects,7,2022,2028
CU,CuMinesbyCountry,Russian Federation,8,2021,2028
CU,CuMinesbyCountry,Saudi Arabia,8,2021,2028
CU,CuMinesbyCountry,Serbia,8,2021,2028
CU,CuMinesbyCountry,South Africa,8,2021,2028
CU,CuMinesbyCountry,Spain,8,2021,2028
CU,CuMinesbyCountry,Sweden,8,2021,2028
CU,CuMinesbyCountry,TOTAL AFRICA,8,2021,2028
CU,CuMinesbyCountry,TOTAL ASIA,8,2021,2028
CU,CuMinesbyCountry,TOTAL EUROPE,8,2021,2028
CU,CuMinesbyCountry,TOTAL LATIN AMERICA & CARIBBEAN,8,2021,2028
CU,CuMinesbyCountry,TOTAL MIDDLE EAST,8,2021,2028
CU,CuMinesbyCountry,TOTAL NORTH AMERICA,8,2021,2028
CU,CuMinesbyCountry,TOTAL OCEANIA,8,2021,2028
CU,CuMinesbyCountry,TOTAL RUSSIA AND THE CASPIAN,8,2021,2028
CU,CuMinesbyCountry,TOTAL WORLD,8,2021,2028
CU,CuMinesbyCountry,TOTAL WORLD PRODUCTION,8,2021,2028
CU,CuMinesbyCountry,Turkey,8,2021,2028
CU,CuMinesbyCountry,United States,8,2021,2028
CU,CuMinesbyCountry,Zambia,8,2021,2028
CU,CuMinesbyType,Add (Less) net adjustment,8,2021,2028
CU,CuMinesbyType,Concentrate copper,8,2021,2028
CU,CuMinesbyType,Precipitate copper,8,2021,2028
CU,CuMinesbyType,Subtotal,8,2021,2028
CU,CuMinesbyType,SxEw copper,8,2021,2028
CU,CuMinesbyType,Total copper,8,2021,2028
CU,CuRefineries,Australia,8,2021,2028
CU,CuRefineries,Austria,8,2021,2028
CU,CuRefineries,Belgium,8,2021,2028
CU,CuRefineries,Brazil,8,2021,2028
CU,CuRefineries,Bulgaria,8,2021,2028
CU,CuRefineries,Canada,8,2021,2028
CU,CuRefineries,Chile,8,2021,2028
CU,CuRefineries,China,8,2021,2028
CU,CuRefineries,Democratic Republic of Congo,8,2021,2028
CU,CuRefineries,Egypt,8,2021,2028
CU,CuRefineries,Finland,8,2021,2028
CU,CuRefineries,Germany,8,2021,2028
CU,CuRefineries,India,8,2021,2028
CU,CuRefineries,Indonesia,8,2021,2028
CU,CuRefineries,Iran,8,2021,2028
CU,CuRefineries,Japan,8,2021,2028
CU,CuRefineries,Kazakhstan,8,2021,2028
CU,CuRefineries,Laos,8,2021,2028
CU,CuRefineries,Mexico,8,2021,2028
CU,CuRefineries,Namibia,8,2021,2028
CU,CuRefineries,Net adjustment,5,2024,2028
CU,CuRefineries,Norway,8,2021,2028
CU,CuRefineries,Oman,8,2021,2028
CU,CuRefineries,Others,8,2021,2028
CU,CuRefineries,Peru,8,2021,2028
CU,CuRefineries,Poland,8,2021,2028
CU,CuRefineries,Russian Federation,8,2021,2028
CU,CuRefineries,Serbia,8,2021,2028
CU,CuRefineries,Singapore,8,2021,2028
CU,CuRefineries,South Africa,8,2021,2028
CU,CuRefineries,South Korea,8,2021,2028
CU,CuRefineries,Spain,8,2021,2028
CU,CuRefineries,Sweden,8,2021,2028
CU,CuRefineries,TOTAL AFRICA,8,2021,2028
CU,CuRefineries,TOTAL ASIA,8,2021,2028
CU,CuRefineries,TOTAL EUROPE,8,2021,2028
CU,CuRefineries,TOTAL LATIN AMERICA AND THE CARIBBEAN,8,2021,2028
CU,CuRefineries,TOTAL MIDDLE EAST,8,2021,2028
CU,CuRefineries,TOTAL NORTH AMERICA,8,2021,2028
CU,CuRefineries,TOTAL OCEANIA,8,2021,2028
CU,CuRefineries,TOTAL RUSSIA AND THE CASPIAN,8,2021,2028
CU,CuRefineries,TOTAL WORLD,8,2021,2028
CU,CuRefineries,TOTAL WORLD PRODUCTION,8,2021,2028
CU,CuRefineries,Turkey,8,2021,2028
CU,CuRefineries,United States,8,2021,2028
CU,CuRefineries,Uzbekistan,8,2021,2028
CU,CuRefineries,Zambia,8,2021,2028
CU,CuSmelters,Armenia,8,2021,2028
CU,CuSmelters,Australia,8,2021,2028
CU,CuSmelters,Austria,8,2021,2028
CU,CuSmelters,Belgium,8,2021,2028
CU,CuSmelters,Brazil,8,2021,2028
CU,CuSmelters,Bulgaria,8,2021,2028
CU,CuSmelters,Canada,8,2021,2028
CU,CuSmelters,Chile,8,2021,2028
CU,CuSmelters,China,8,2021,2028
CU,CuSmelters,Democratic Republic of Congo,8,2021,2028
CU,CuSmelters,Finland,8,2021,2028
CU,CuSmelters,Germany,8,2021,2028
CU,CuSmelters,India,8,2021,2028
CU,CuSmelters,Indonesia,8,2021,2028
CU,CuSmelters,Iran,8,2021,2028
CU,CuSmelters,Japan,8,2021,2028
CU,CuSmelters,Kazakhstan,8,2021,2028
CU,CuSmelters,Mexico,8,2021,2028
CU,CuSmelters,Namibia,8,2021,2028
CU,CuSmelters,Net adjustment,7,2022,2028
CU,CuSmelters,Norway,8,2021,2028
CU,CuSmelters,Oman,8,2021,2028
CU,CuSmelters,Others,8,2021,2028
CU,CuSmelters,Peru,8,2021,2028
CU,CuSmelters,Philippines,8,2021,2028
CU,CuSmelters,Poland,8,2021,2028
CU,CuSmelters,Russian Federation,8,2021,2028
CU,CuSmelters,Serbia,8,2021,2028
CU,CuSmelters,Slovakia,8,2021,2028
CU,CuSmelters,South Africa,8,2021,2028
CU,CuSmelters,South Korea,8,2021,2028
CU,CuSmelters,Spain,8,2021,2028
CU,CuSmelters,Sweden,8,2021,2028
CU,CuSmelters,TOTAL AFRICA,8,2021,2028
CU,CuSmelters,TOTAL ASIA,8,2021,2028
CU,CuSmelters,TOTAL EUROPE,8,2021,2028
CU,CuSmelters,TOTAL LATIN AMERICA AND THE CARIBBEAN,8,2021,2028
CU,CuSmelters,TOTAL MIDDLE EAST,8,2021,2028
CU,CuSmelters,TOTAL NORTH AMERICA,8,2021,2028
CU,CuSmelters,TOTAL OCEANIA,8,2021,2028
CU,CuSmelters,TOTAL RUSSIA AND THE CASPIAN,8,2021,2028
CU,CuSmelters,TOTAL WORLD,8,2021,2028
CU,CuSmelters,TOTAL WORLD PRODUCTION,8,2021,2028
CU,CuSmelters,Turkey,8,2021,2028
CU,CuSmelters,United States,8,2021,2028
CU,CuSmelters,Uzbekistan,8,2021,2028
CU,CuSmelters,Zambia,8,2021,2028
CU,Global,- Blister,57,1984,2040
CU,Global,- Constant 2026$,61,1980,2040
CU,Global,- Current Dollars,61,1980,2040
CU,Global,- Exchange (Comex+LME+SHFE),42,1984,2025
CU,Global,- Metal,57,1984,2040
CU,Global,- Other,42,1984,2025
CU,Global,- add direct use in chemicals,57,1984,2040
CU,Global,- less SxEw Production,57,1984,2040
CU,Global,- less refinery Scrap,57,1984,2040
CU,Global,- less smelter Scrap/Residues,57,1984,2040
CU,Global,-add direct use of blister,57,1984,2040
CU,Global,-add resmelted blister/anode,57,1984,2040
CU,Global,Add Scrap,57,1984,2040
CU,Global,Add: Scrap/Resmelted blister,57,1984,2040
CU,Global,Add: SxEw Production,57,1984,2040
CU,Global,Annual Change (%),51,1990,2040
CU,Global,Base Case,34,2007,2040
CU,Global,Base Case & Highly Probable Mines,33,2008,2040
CU,Global,Base Case Mine Production (less disruptions),34,2007,2040
CU,Global,Blister Stock Change (- =drawdown),57,1984,2040
CU,Global,Blister Stocks,57,1984,2040
CU,Global,Blister Stocks (days),57,1984,2040
CU,Global,Blister/Anode required by refineries,57,1984,2040
CU,Global,CHANGE IN STOCKS,57,1984,2040
CU,Global,CONSUMPTION :,57,1984,2040
CU,Global,Change in Metal Stocks,57,1984,2040
CU,Global,Conc Stock Change (- =drawdown),57,1984,2040
CU,Global,Conc needed by Smelters,57,1984,2040
CU,Global,Concs available for Smelting,57,1984,2040
CU,Global,Concs/Precips Production Capability,57,1984,2040
CU,Global,Demand For Mine Production,34,2007,2040
CU,Global,Demand For Mine Production (net of scrap),34,2007,2040
CU,Global,Demand for Conc (Contained),57,1984,2040
CU,Global,Demand for Conc (Recoverable),57,1984,2040
CU,Global,Demand for World Blister,57,1984,2040
CU,Global,Demand for World Cu in Concs.,57,1984,2040
CU,Global,Demand for World Er Cu,57,1984,2040
CU,Global,Disruption Allowance (5% of Initial Forecast),18,2023,2040
CU,Global,Disruption allowance,38,2003,2040
CU,Global,Electro-refined Cu Production,57,1984,2040
CU,Global,Er + Fr Refinery Production,57,1984,2040
CU,Global,Estimated Total Stocks,57,1984,2040
CU,Global,Greenfield and Other,34,2007,2040
CU,Global,Hi Prob,30,2011,2040
CU,Global,Hi-Probable Conc Producers (100%),21,2007,2040
CU,Global,Hi-Probable SxEw Producers (100%),18,2023,2040
CU,Global,Highly Probable Mines,34,2007,2040
CU,Global,Highly Probable Projects,34,2007,2040
CU,Global,Less Mine Life Extensions,30,2011,2040
CU,Global,Less Scrap,57,1984,2040
CU,Global,METAL STOCKS,57,1984,2040
CU,Global,Market Adjustment,18,2023,2040
CU,Global,Metal Stocks-days of Consumption,57,1984,2040
CU,Global,Mine Prodn (Concs/Ppts),57,1984,2040
CU,Global,Norilsk Conc Stocks,57,1984,2040
CU,Global,Other World (days),57,1984,2040
CU,Global,Other World Stocks,57,1984,2040
CU,Global,Poss,34,2007,2040
CU,Global,Price Related/Market Adjustment,18,2023,2040
CU,Global,Primary Demand (demand for mine output + SxEw),57,1984,2040
CU,Global,Primary Smelter recovery,57,1984,2040
CU,Global,Prob,30,2011,2040
CU,Global,Prob SxEw Producers,18,2023,2040
CU,Global,Probable Brownfield,33,2008,2040
CU,Global,Probable Brownfields,33,2008,2040
CU,Global,Probable Conc Producers,18,2023,2040
CU,Global,Probable Projects,34,2007,2040
CU,Global,Probable Refinery Capacity,18,2023,2040
CU,Global,Probable Smelter Capacity,18,2023,2040
CU,Global,Refined Consumption,57,1984,2040
CU,Global,Refinery Capacity,51,1990,2040
CU,Global,Refinery Capacity Utilisation,51,1990,2040
CU,Global,Smelter Capacity,51,1990,2040
CU,Global,Smelter Capacity Utilisation,51,1990,2040
CU,Global,Smelter Production,57,1984,2040
CU,Global,Smelter scrap rate %,41,1990,2030
CU,Global,Smelting losses,57,1984,2040
CU,Global,SxEw/Hydromet Forecast Prodn Capability,57,1984,2040
CU,Global,TOTAL COPPER SUPPLY :,57,1984,2040
CU,Global,Total,57,1984,2040
CU,Global,Total  World (days),57,1984,2040
CU,Global,Total Concs/Precips Production,57,1984,2040
CU,Global,Total Refined Cu Production,57,1984,2040
CU,Global,Total Refined Production,57,1984,2040
CU,Global,Total SxEw Production,57,1984,2040
CU,Global,World Refined demand for Blister,57,1984,2040
CU,Global,add Blister Adj,57,1984,2040
CU,Global,add Direct use concs,57,1984,2040
CU,Global,less direct use concs,57,1984,2040
CU,Global,less direct use of blister,57,1984,2040
CU,Global,less resmelted blister/anode,57,1984,2040
CU,Global,refinery scrap rate %,41,1990,2030
CU,GlobalSupplyDemand,- $/tonne (money-of-the-day),8,2021,2028
CU,GlobalSupplyDemand,- 2026$,8,2021,2028
CU,GlobalSupplyDemand,- Blister,8,2021,2028
CU,GlobalSupplyDemand,- Concentrate,8,2021,2028
CU,GlobalSupplyDemand,- Days of consumption,8,2021,2028
CU,GlobalSupplyDemand,- Metal,8,2021,2028
CU,GlobalSupplyDemand,- Total,8,2021,2028
CU,GlobalSupplyDemand,- c/lb (money-of-the-day),8,2021,2028
CU,GlobalSupplyDemand,Additional adjustment (non-plant specific),8,2021,2028
CU,GlobalSupplyDemand,Concentrate/precipitate production capability,8,2021,2028
CU,GlobalSupplyDemand,Consumption :,8,2021,2028
CU,GlobalSupplyDemand,Disruption allowance (5% of initial forecast),4,2025,2028
CU,GlobalSupplyDemand,Er and Fr Refinery Production,8,2021,2028
CU,GlobalSupplyDemand,Price related/market adjustment,4,2025,2028
CU,GlobalSupplyDemand,Probable SxEw producers,4,2025,2028
CU,GlobalSupplyDemand,Probable concentrate producers,4,2025,2028
CU,GlobalSupplyDemand,Refinery production capability (net of identified adjustment),8,2021,2028
CU,GlobalSupplyDemand,Smelter production,8,2021,2028
CU,GlobalSupplyDemand,Smelter production capability (net of identified adjustment),8,2021,2028
CU,GlobalSupplyDemand,SxEw/Hydromet forecast production capability,8,2021,2028
CU,GlobalSupplyDemand,Total SxEw production,8,2021,2028
CU,GlobalSupplyDemand,Total concentrate/precipitate production,8,2021,2028
CU,GlobalSupplyDemand,Total copper supply :,8,2021,2028
CU,Prices and Premia,1st Position (c/lb),3,2024,2026
CU,Prices and Premia,2nd Position (c/lb),3,2024,2026
CU,Prices and Premia,3-month ($/t),3,2024,2026
CU,Prices and Premia,3-month settlement $/t,3,2024,2026
CU,Prices and Premia,3-month settlement RMB/t,3,2024,2026
CU,Prices and Premia,Australian $,3,2024,2026
CU,Prices and Premia,Canadian $,3,2024,2026
CU,Prices and Premia,Cash ($/t),3,2024,2026
CU,Prices and Premia,Codelco,3,2024,2026
CU,Prices and Premia,Codelco to China,3,2024,2026
CU,Prices and Premia,Euro,3,2024,2026
CU,Prices and Premia,Front month settlement $/t,3,2024,2026
CU,Prices and Premia,Front month settlement RMB/t,3,2024,2026
CU,Prices and Premia,MJP,3,2024,2026
CU,Prices and Premia,Shanghai Grade A ($/t),3,2024,2026
CU,Prices and Premia,Spread  (3-month - cash),3,2024,2026
CU,Prices and Premia,US (c/lb),3,2024,2026
CU,Prices and Premia,W. Europe,3,2024,2026
CU,Prices and Premia,W. Europe Chilean ($/t),3,2024,2026
CU,Prices and Premia,W. Europe Grade A ($/t),3,2024,2026
CU,Prices and Premia,W. Europe Standard ($/t),3,2024,2026
CU,Prices and Premia,Yen,3,2024,2026
CU,Prices and Premia,Yuan,3,2024,2026
CU,QuartCons,Asia,6,2021,2026
CU,QuartCons,Brazil,6,2021,2026
CU,QuartCons,Canada,6,2021,2026
CU,QuartCons,China,6,2021,2026
CU,QuartCons,Europe,6,2021,2026
CU,QuartCons,France,6,2021,2026
CU,QuartCons,Germany,6,2021,2026
CU,QuartCons,Global Total,6,2021,2026
CU,QuartCons,India,6,2021,2026
CU,QuartCons,Italy,6,2021,2026
CU,QuartCons,Japan,6,2021,2026
CU,QuartCons,Latin America,6,2021,2026
CU,QuartCons,Mexico,6,2021,2026
CU,QuartCons,North America,6,2021,2026
CU,QuartCons,Other,6,2021,2026
CU,QuartCons,Poland,6,2021,2026
CU,QuartCons,Rest of World,6,2021,2026
CU,QuartCons,Russia,6,2021,2026
CU,QuartCons,South Korea,6,2021,2026
CU,QuartCons,Spain,6,2021,2026
CU,QuartCons,Taiwan,6,2021,2026
CU,QuartCons,United States,6,2021,2026
CU,Spot_TCRC,"Combined (c/lb) #",5,2022,2026
CU,Spot_TCRC,Combined (c/lb) +,5,2022,2026
CU,Spot_TCRC,R/C (c/lb Cu),5,2022,2026
CU,Spot_TCRC,T/C ($/tonne Conc.),5,2022,2026
CU,Stocks,Antwerp,3,2024,2026
CU,Stocks,Asia,3,2024,2026
CU,Stocks,Busan,3,2024,2026
CU,Stocks,Cancelled warrants,3,2024,2026
CU,Stocks,Comex,3,2024,2026
CU,Stocks,Consumer stocks - kt,3,2024,2026
CU,Stocks,Europe,3,2024,2026
CU,Stocks,France,3,2024,2026
CU,Stocks,Germany,3,2024,2026
CU,Stocks,Japan,3,2024,2026
CU,Stocks,Johor,3,2024,2026
CU,Stocks,Merchant stocks - kt,3,2024,2026
CU,Stocks,Middle East,3,2024,2026
CU,Stocks,New Orleans,3,2024,2026
CU,Stocks,North America,3,2024,2026
CU,Stocks,Other,3,2024,2026
CU,Stocks,Other Asia,3,2024,2026
CU,Stocks,Other Europe,3,2024,2026
CU,Stocks,Other North America,3,2024,2026
CU,Stocks,Producer stocks - kt,3,2024,2026
CU,Stocks,Rotterdam,3,2024,2026
CU,Stocks,Shanghai Futures Exchange,3,2024,2026
CU,Stocks,Singapore (City),3,2024,2026
CU,Stocks,Stock Ratio (days of consumption),3,2024,2026
CU,Stocks,Total LME Stocks,3,2024,2026
CU,Stocks,Total commercial stocks* - kt,3,2024,2026
CU,Stocks,USA,3,2024,2026
NI,BalancesByClass,China Class I,9,2020,2028
NI,BalancesByClass,China Class II,9,2020,2028
NI,BalancesByClass,China sulphate,9,2020,2028
NI,BalancesByClass,RoW Class I,9,2020,2028
NI,BalancesByClass,RoW Class II,9,2020,2028
NI,BalancesByClass,RoW sulphate,9,2020,2028
NI,BalancesByClass,Total Class I,9,2020,2028
NI,BalancesByClass,Total Class II,9,2020,2028
NI,BalancesByClass,Total nickel,9,2020,2028
NI,BalancesByClass,Total sulphate,9,2020,2028
NI,ChemicalsbyPlant,Brixlegg,7,2022,2028
NI,ChemicalsbyPlant,Brunp,7,2022,2028
NI,ChemicalsbyPlant,CNGR Chemicals,7,2022,2028
NI,ChemicalsbyPlant,Caofeidian,7,2022,2028
NI,ChemicalsbyPlant,Caofeidian Expansion,3,2026,2028
NI,ChemicalsbyPlant,Chengtun,5,2024,2028
NI,ChemicalsbyPlant,China Dissolution,7,2022,2028
NI,ChemicalsbyPlant,China Other,7,2022,2028
NI,ChemicalsbyPlant,China Secondary,7,2022,2028
NI,ChemicalsbyPlant,Chongqing Chemicals,7,2022,2028
NI,ChemicalsbyPlant,Coremax,7,2022,2028
NI,ChemicalsbyPlant,Enerchem,7,2022,2028
NI,ChemicalsbyPlant,Excelsior Chemical,3,2026,2028
NI,ChemicalsbyPlant,GEM,7,2022,2028
NI,ChemicalsbyPlant,Germany Secondary,7,2022,2028
NI,ChemicalsbyPlant,Greatpower,6,2023,2028
NI,ChemicalsbyPlant,Guangxi Yinyi Chems,5,2022,2026
NI,ChemicalsbyPlant,Harima,7,2022,2028
NI,ChemicalsbyPlant,Harjavalta Chemicals,7,2022,2028
NI,ChemicalsbyPlant,Huaxiang,4,2025,2028
NI,ChemicalsbyPlant,India Dissolvers,7,2022,2028
NI,ChemicalsbyPlant,Isoura,7,2022,2028
NI,ChemicalsbyPlant,Japan Secondary,7,2022,2028
NI,ChemicalsbyPlant,Jiangmen Chancsun,7,2022,2028
NI,ChemicalsbyPlant,Jilin Chemicals,7,2022,2028
NI,ChemicalsbyPlant,Jinchuan Chemicals,7,2022,2028
NI,ChemicalsbyPlant,Kemco,7,2022,2028
NI,ChemicalsbyPlant,Korea Other,7,2022,2028
NI,ChemicalsbyPlant,Kwinana Sulphate,7,2022,2028
NI,ChemicalsbyPlant,Maolian Chemicals,7,2022,2028
NI,ChemicalsbyPlant,Mechema,7,2022,2028
NI,ChemicalsbyPlant,Nickelhutte,7,2022,2028
NI,ChemicalsbyPlant,Nicomet,7,2022,2028
NI,ChemicalsbyPlant,Niihama Chemicals,7,2022,2028
NI,ChemicalsbyPlant,Obi,7,2022,2028
NI,ChemicalsbyPlant,Onsan,2,2027,2028
NI,ChemicalsbyPlant,POSCO Chemicals,6,2023,2028
NI,ChemicalsbyPlant,Palm,7,2022,2028
NI,ChemicalsbyPlant,QMB,4,2025,2028
NI,ChemicalsbyPlant,Quzhou Huayou Chems,7,2022,2028
NI,ChemicalsbyPlant,Skouriotissa,7,2022,2028
NI,ChemicalsbyPlant,Spain Other,7,2022,2028
NI,ChemicalsbyPlant,TOTAL AFRICA,7,2022,2028
NI,ChemicalsbyPlant,TOTAL ASIA,7,2022,2028
NI,ChemicalsbyPlant,TOTAL EUROPE,7,2022,2028
